10.5277,9.1302
8.5186,13.662
7.0032,11.854
8.3829,11.886
7.4764,4.3483
8.5781,12
6.4862,6.5987
5.0546,3.8166
10.7107,3.2522
14.164,15.505
5.734,3.1551
8.4084,7.2258
5.6407,0.71618
10.3794,3.5129
6.3654,5.3048
12.0708,5.3893
11.1891,3.1386
20.27,21.767
10.4901,4.263
5.5649,3.0825
18.945,22.638
12.828,13.501
10.957,7.0467
13.176,14.692
22.203,24.147
5.2524,-1.22
11.5894,5.9966
14.2482,12.134
8.2111,6.5426
7.9334,4.5623
8.0959,4.1164
10.6063,3.3928
12.836,10.117
11.3534,5.4974
11.708,5.3854
10.7737,2.4406
7.8247,6.7318
12.0931,1.0463
10.0702,5.1337
5.8014,1.844
11.7,8.0043
5.5416,1.0179
12.5402,6.7504
5.3077,1.8396
7.4239,4.2885
12.6031,4.9981
6.3328,1.4233
6.3589,-1.4211
6.2742,2.4756
9.6397,4.6042
14.3102,3.9624
9.4536,5.4141
8.8254,5.1694
5.1793,-0.74279
21.279,17.929
14.908,12.054
18.959,17.054
7.2182,4.8852
13.2951,5.7442
10.236,7.7754
5.4994,1.0173
20.341,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
5.0269,-2.6807
6.5479,0.29678
7.5386,3.8845
11.0365,5.7014
10.274,6.7526
5.1077,2.0576
5.7292,0.47953
9.7687,7.5435
6.5159,5.3436
13.5172,4.2415
9.1802,6.7981
6.002,0.92695
5.5204,0.152
5.0594,2.8214
7.6366,4.2959
9.8707,7.2029
5.3054,1.9869
8.2934,0.14454
17.2934,15.14454
16.245,13.1241
17.6366,14.1234
16.245,13.1241
17.0594,15.2959
16.245,13.1241
